产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->酱油,老抽王,固原市原州区恒源清真酱醋厂,原国家食药总局,合格,2015-02-16,,1L,,固原市原州区恒源清真酱醋厂,宁夏固原市原州区军民路329号,固原市原州区恒源清真酱醋厂,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502780
调味品-->酱油,黄豆酱油,兰州新世界汇美百货有限公司,原国家食药总局,合格,2015-02-16,,400克,,甘肃凉州益民有限责任公司,武威市凉州区天马大道1号,兰州新世界汇美百货有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502759
调味品-->酱油,苏利达酱油（酿造酱油）,伊犁佳味酱醋酿造有限公司,原国家食药总局,合格,2015-02-16,,340ml/袋 低盐固态烹调,,伊犁佳味酱醋酿造厂,伊宁县英塔木乡,伊犁佳味酱醋酿造有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502799
调味品-->酱油,黄豆酱油（酿造酱油）,库尔勒红厨王调味品厂,原国家食药总局,合格,2015-02-16,,800ml/瓶 高盐稀态 烹调,,新疆库尔勒红厨王调味品厂,新疆库尔勒市莲花湖风景区,库尔勒红厨王调味品厂,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502797
调味品-->酱油,红花籽酱油（酿造酱油）,新疆庄子实业有限公司,原国家食药总局,合格,2015-02-16,,488ml/瓶 烹调,,新疆庄子实业有限公司,新疆吉木萨尔县大有路21号,新疆庄子实业有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502796
调味品-->酱油,黄豆酱油,阿克苏市天府酿造厂,原国家食药总局,合格,2015-02-16,,620ml/瓶 低盐固态发酵 烹调 酿造酱油,,阿克苏市天府酿造厂,阿克苏市建化厂胜利路101,阿克苏市天府酿造厂,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502800
调味品-->酱油,黄豆老抽,宁夏固原永昌老土醋有限公司,原国家食药总局,合格,2015-02-16,,500mL,,宁夏固原永昌老土醋有限公司,宁夏固原市原州区军民路327号,宁夏固原永昌老土醋有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502781
调味品-->酱油,三利黄豆酱油,银川新华百货连锁超市有限公司永宁店,原国家食药总局,合格,2015-02-16,,300mL,,宁夏银川三利清真酱醋有限公司出品,宁夏银川市德胜工业园区兴发路,银川新华百货连锁超市有限公司永宁店,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502782
调味品-->酱油,酱油,贺兰县阳光百盛超市,原国家食药总局,合格,2015-02-16,,300mL,,宁夏银川三利清真酱醋有限公司出品,宁夏银川市德胜工业园区兴发路,贺兰县阳光百盛超市,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502783
调味品-->酱油,黄豆酱油,银川三利清真酱醋有限责任公司,原国家食药总局,合格,2015-02-16,,300mL,,银川三利清真酱醋有限责任公司,银川德胜工业园区兴发路,银川三利清真酱醋有限责任公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502784
调味品-->酱油,黄豆酱油,甘肃凉州益民有限责任公司,原国家食药总局,合格,2015-02-16,,400g/袋,,甘肃凉州益民有限责任公司,甘肃省武威市凉州区天马大道1号,甘肃凉州益民有限责任公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502706
调味品-->酱油,老抽王酱油,武威市凉州区君顺超市,原国家食药总局,合格,2015-02-16,,800mL/瓶,,佛山市海天(高明)调味食品有限公司,佛山市高明区沧江工业园东园,武威市凉州区君顺超市,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502707
调味品-->酱油,老抽王,兰州福东食品有限公司,原国家食药总局,合格,2015-02-16,,950g/瓶,,兰州福东食品有限公司,兰州市七里河区八里镇侯家峪村77号,兰州福东食品有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502709
调味品-->酱油,黄豆酱油,兰州福东食品有限公司,原国家食药总局,合格,2015-02-16,,330mL/袋,,兰州福东食品有限公司,甘肃省兰州市七里河区八里镇侯家峪村77号,兰州福东食品有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502708
调味品-->酱油,老抽王,白银宝城食品有限公司,原国家食药总局,合格,2015-02-16,,600mL/瓶,,白银宝城食品有限公司,甘肃省白银市白银区王岘镇五星村,白银宝城食品有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502710
调味品-->酱油,黄豆酱油,白银宝城食品有限公司,原国家食药总局,合格,2015-02-16,,2.5kg/桶,,白银宝城食品有限公司,甘肃省白银市白银区王岘镇五星村,白银宝城食品有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502711
调味品-->酱油,酿造酱油,榆中乡缘酿造厂,原国家食药总局,合格,2015-02-16,,1L/桶,,榆中乡缘酿造厂,榆中县三角城乡陈家庄,榆中乡缘酿造厂,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502712
调味品-->酱油,黄豆酱油,兰州市城关区金锣荣嘉商行,原国家食药总局,合格,2015-02-16,,300mL/袋,,兰州小二黑食品有限公司,甘肃省兰州市安宁区银安路535号,兰州市城关区金锣荣嘉商行,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502741
调味品-->酱油,华秦酱油（酿造酱油）,西安市大明宫遗址区家得乐食品日用品商行,原国家食药总局,合格,2015-02-16,,350ml/袋（固态发酵 烹调型）,,宝鸡市华秦酿造有限责任公司,宝鸡市陈仓区县功镇169号信箱,西安市大明宫遗址区家得乐食品日用品商行,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502696
调味品-->酱油,拓东甜酱油,景洪大润发商业有限公司,原国家食药总局,合格,2015-02-16,,500ml/瓶,,昆明拓东调味食品有限公司,昆明市螺蛳湾277号（南坝232号）,景洪大润发商业有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502656
调味品-->酱油,香菇酱油,陕西明冠食品饮料有限公司,原国家食药总局,合格,2015-02-16,,480ml/瓶,,陕西明冠食品饮料有限公司,陕西省汉中市汉武路中段,陕西明冠食品饮料有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502665
调味品-->酱油,妥甸酱油（一级酿造酱油）,昆明好又多百货商贸有限公司,原国家食药总局,合格,2015-02-16,,500mL/瓶,,云南双柏妥甸酱油有限公司,云南省双柏县城老黑山,昆明好又多百货商贸有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502658
调味品-->酱油,拓东黄豆酱油 酿造酱油,景洪大润发商业有限公司,原国家食药总局,合格,2015-02-16,,500ml/瓶,,昆明拓东调味食品有限公司,昆明市螺蛳湾277号（南坝232号）,景洪大润发商业有限公司,,原国家食药总局,,2015-02-16,,,,,合格,,,国抽,http://db.foodmate.net/choujian/gncj_show.php?id=502653
